Intel® Product Specification Comparison
01/07/2025 03:16:59 PM
 ,Intel® Xeon® Processor D-1533N ,Intel® Xeon® Processor D-1513N ,Intel® Xeon® Processor D-1543N ,Intel® Xeon® Processor D-1523N ,Intel® Xeon® Processor D-1553N ,Intel® Xeon® D-2123IT Processor ,Intel® Xeon® D-2141I Processor ,Intel® Xeon® D-2143IT Processor ,Intel® Xeon® D-2142IT Processor ,Intel® Xeon® D-2145NT Processor ,Intel® Xeon® D-2146NT Processor ,Intel® Xeon® D-2161I Processor ,Intel® Xeon® D-2177NT Processor ,Intel® Xeon® D-2163IT Processor ,Intel® Xeon® D-2173IT Processor ,Intel® Xeon® D-2166NT Processor ,Intel® Xeon® D-2187NT Processor ,Intel® Xeon® D-2183IT Processor ,Intel® Xeon® Processor D-1524N ,Intel® Xeon® D-1653N Processor ,Intel® Xeon® D-1602 Processor ,Intel® Xeon® D-1622 Processor ,Intel® Xeon® D-1623N Processor ,Intel® Xeon® D-1627 Processor ,Intel® Xeon® D-1637 Processor ,Intel® Xeon® D-1633N Processor ,Intel® Xeon® D-1649N Processor ,Intel® Xeon® D-1736NT Processor ,Intel® Xeon® D-1733NT Processor ,Intel® Xeon® D-1746TER Processor ,Intel® Xeon® D-1749NT Processor ,Intel® Xeon® D-1713NT Processor ,Intel® Xeon® D-1735TR Processor ,Intel® Xeon® D-1713NTE Processor ,Intel® Xeon® D-1715TER Processor ,Intel® Xeon® D-1732TE Processor ,Intel® Xeon® D-1718T Processor ,Intel® Xeon® D-1712TR Processor ,Intel® Xeon® D-1714 Processor ,Intel® Xeon® D-1739 Processor ,Intel® Xeon® D-1736 Processor ,Intel® Xeon® D-1726 Processor ,Intel® Xeon® D-1722NE Processor ,Intel® Xeon® D-1734NT Processor ,Intel® Xeon® D-1702 Processor ,Intel® Xeon® D-1747NTE Processor ,Intel® Xeon® D-1748TE Processor ,Intel® Xeon® D-2712T Processor ,Intel® Xeon® D-2733NT Processor ,Intel® Xeon® D-2738 Processor ,Intel® Xeon® D-2745NX Processor ,Intel® Xeon® D-2753NT Processor ,Intel® Xeon® D-2757NX Processor ,Intel® Xeon® D-2776NT Processor ,Intel® Xeon® D-2777NX Processor ,Intel® Xeon® D-2766NT Processor ,Intel® Xeon® D-2779 Processor ,Intel® Xeon® D-2795NT Processor ,Intel® Xeon® D-2799 Processor ,Intel® Xeon® D-2798NX Processor ,Intel® Xeon® D-2798NT Processor ,Intel® Xeon® D-2752NTE Processor ,Intel® Xeon® D-2752TER Processor ,Intel® Xeon® D-2796NT Processor ,Intel® Xeon® D-2775TE Processor ,Intel® Xeon® D-2796TE Processor ,Intel® Xeon® D-2786NTE Processor ,Intel® Xeon® D-2739NT Processor ,Intel® Xeon® D-1731NTE Processor ,Intel® Xeon® D-1823NT Processor ,Intel® Xeon® D-1834 Processor ,Intel® Xeon® D-1846 Processor ,Intel® Xeon® D-1813NT Processor ,Intel® Xeon® D-1848TER Processor ,Intel® Xeon® D-1844NT Processor ,Intel® Xeon® D-2832NT Processor ,Intel® Xeon® D-2896NT Processor ,Intel® Xeon® D-2899NT Processor ,Intel® Xeon® D-2843NT Processor ,Intel® Xeon® D-2896TER Processor ,Intel® Xeon® D-2876NT Processor ,Intel® Xeon® Processor D-1520 ,Intel® Xeon® Processor D-1540 ,Intel® Xeon® Processor D-1529 ,Intel® Xeon® Processor D-1527 ,Intel® Xeon® Processor D-1537 ,Intel® Xeon® Processor D-1528 ,Intel® Xeon® Processor D-1541 ,Intel® Xeon® Processor D-1539 ,Intel® Xeon® Processor D-1518 ,Intel® Xeon® Processor D-1521 ,Intel® Xeon® Processor D-1531 ,Intel® Xeon® Processor D-1548 ,Intel® Xeon® Processor D-1559 ,Intel® Xeon® Processor D-1577 ,Intel® Xeon® Processor D-1571 ,Intel® Xeon® Processor D-1567 ,Intel® Xeon® Processor D-1557 
General Purpose IO,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UART,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Max # of SATA 6.0 Gb/s Ports,,,,6,6,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,24,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,,,,,,,,,,,

Networking Specifications
Interfaces Supported,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10GBase-T,10GBase-T,,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KR |  KX |  1000Base-T |  10GBase-T,SFI |  KX |  1000Base-T |  10GBase-T

Package Specifications
Sockets Supported,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA2518,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2227,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA2579,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667,FCBGA1667
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Package Size,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,,,,,,,,,,,,,,,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,52.5 x 45mm,52.5 mm x 45 mm,52.5 x 45mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 x 45mm,52.5 mm x 45 mm,52.5 x 45mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 x 45mm,52.5 x 45mm,52.5 x 45mm,52.5 x 45mm,52.5 mm x 45 mm,52.5mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,45mm x 45mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,52.5 mm x 45 mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm,37.5 mm x 37.5 mm
TJUNCTION,,,,,105,,,,,,,,,,,,,,,105,105,105,105,105,105,105,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCASE,,,,,,,,,,,,,,,,,,,,71,84,83,83,82,77,83,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80°C,80°C,,,,,,,,,,,,,,,
Operating Temperature (Maximum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85 °C,,,,,85 °C,,,,,85 °C,,,,
Operating Temperature (Minimum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40 °C,,,,,-40 °C,,,,,-40 °C,,,,

Advanced Technologies
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,2.0,2.0,2.0,No,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Transactional Synchronization Extensions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,Intel® AVX2 |  Intel® AVX-512,,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX-512,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2,Intel® AVX2
Idle States,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Integrated Intel® QuickAssist Technology,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,
Intel® ME Firmware Version,,,,,SPS 3.0,,,,,,,,,,,,,,,SPS 3.0,SPS 3.0,SPS 3.0,SPS 3.0,SPS 3.0,SPS 3.0,SPS 3.0,SPS 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Quiet System Technology,,,,,No,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Volume Management Device (VMD),,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Intel® Optane™ Memory Supported ‡,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 ‡,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of AVX-512 FMA Units,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
Intel® Resource Director Technology (Intel® RDT),,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
Intel® Time Coordinated Computing (Intel® TCC)‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
